iid,id,gender,idg,condtn,wave,round,pid,piid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,age,field_cd,race,imprace,imprelig,from,income,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,satis_2,length,numdat_2,undergra,mn_sat,tuition
474,9,0,17,2,19,15,14,494,1,-0.06,0,30,2,25,25,25,25,0,0,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,1,9,9,9,9,6,5,9,9,0,7,2,2,washington university in st louis,,"26,377.00"
474,9,0,17,2,19,15,15,495,0,-0.04,0,32,6,20,20,20,15,15,10,30,10,1,1,1,AL,65929,1,6,5,2,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9,15,20,10,30,5,20,50,10,10,10,10,10,9,9,10,8,7,0,9,10,8,10,6,5,8,9,0,7,2,2,washington university in st louis,,"26,377.00"
61,6,0,11,1,3,10,1,66,0,0.39,0,29,3,20,25,15,15,53,20,28,7,2,1,5,AL,65929,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,0,5,8,7,8,8,3,5,4,0,5,2,3,,,
61,6,0,11,1,3,10,2,67,0,-0.04,0,22,6,20,15,20,20,5,10,28,7,2,1,5,AL,65929,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,0,6,8,7,8,7,3,5,4,0,5,2,3,,,
61,6,0,11,1,3,10,3,68,0,0.8,0,27,1,21,17,22,20,8,13,28,7,2,1,5,AL,65929,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,0,7,7,8,7,8,6,5,3,0,5,2,3,,,
61,6,0,11,1,3,10,4,69,0,-0.18,1,28,2,50,10,30,10,0,0,28,7,2,1,5,AL,65929,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,1,8,8,8,8,8,5,8,4,0,5,2,3,,,
61,6,0,11,1,3,10,5,70,0,0.14,1,26,2,25,10,20,20,15,10,28,7,2,1,5,AL,65929,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,0,6,5,6,8,8,4,5,2,0,5,2,3,,,
61,6,0,11,1,3,10,6,71,1,-0.47,1,21,2,60,15,0,15,0,10,28,7,2,1,5,AL,65929,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,1,6,9,8,8,8,5,6,4,0,5,2,3,,,
61,6,0,11,1,3,10,7,7,0,0.41,1,22,2,21,20,19,20,10,10,28,7,2,1,5,AL,65929,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,0,7,7,8,8,8,5,6,4,0,5,2,3,,,
61,6,0,11,1,3,10,8,73,0,-0.56,1,22,2,30,10,20,30,0,10,28,7,2,1,5,AL,65929,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,0,6,5,7,8,9,4,4,2,0,5,2,3,,,
61,6,0,11,1,3,10,9,74,0,0.53,1,25,2,30,0,30,30,10,0,28,7,2,1,5,AL,65929,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,0,5,8,8,8,7,4,7,5,0,5,2,3,,,
61,6,0,11,1,3,10,10,75,1,0.28,0,24,6,20,20,20,20,10,10,28,7,2,1,5,AL,65929,1,5,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5,15,15,20,15,15,20,40,12,12,12,12,12,7,10,7,10,7,1,6,8,8,8,8,5,7,4,0,5,2,3,,,
143,2,0,3,2,7,16,1,158,0,0.34,1,23,2,19.05,19.05,19.05,19.05,9.52,14.29,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,0,5,6,8,6,7,5,5,5,0,5,1,3,,,
143,2,0,3,2,7,16,2,159,0,0.55,1,28,2,15.91,20.45,20.45,20.45,11.36,11.36,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,0,4,6,8,5,7,5,5,5,0,5,1,3,,,
143,2,0,3,2,7,16,3,160,0,0.01,0,29,1,16,18,18,18,14,16,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,0,5,5,7,8,7,4,5,5,0,5,1,3,,,
143,2,0,3,2,7,16,4,161,0,-0.15,1,22,2,16.67,18.75,18.75,18.75,18.75,8.33,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,1,5,6,8,9,8,6,8,5,0,5,1,3,,,
143,2,0,3,2,7,16,5,162,0,0.58,0,27,4,15.22,15.22,19.57,17.39,13.04,19.57,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,0,6,7,9,8,9,5,7,4,0,5,1,3,,,
143,2,0,3,2,7,16,6,163,0,0.61,1,26,2,12,20,20,20,16,12,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,1,9,8,9,8,9,8,8,6,1,5,1,3,,,
143,2,0,3,2,7,16,7,7,0,0.47,1,27,2,20.51,23.08,20.51,17.95,2.56,15.38,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,1,8,7,9,8,8,5,8,5,0,5,1,3,,,
143,2,0,3,2,7,16,8,165,0,0.54,1,30,2,16.67,12.5,20.83,18.75,12.5,18.75,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,1,10,9,9,10,6,5,9,6,0,5,1,3,,,
143,2,0,3,2,7,16,9,166,0,0.22,0,26,6,27.78,19.44,19.44,27.78,2.78,2.78,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,1,9,8,9,8,8,5,8,5,0,5,1,3,,,
143,2,0,3,2,7,16,10,167,0,0.13,1,23,2,18.6,13.95,18.6,16.28,16.28,16.28,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,0,5,6,7,6,4,5,5,5,0,5,1,3,,,
143,2,0,3,2,7,16,11,168,0,0.33,0,23,4,11.11,17.78,17.78,17.78,17.78,17.78,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,1,7,8,9,9,9,5,7,5,0,5,1,3,,,
143,2,0,3,2,7,16,12,169,0,0.27,1,28,2,17.78,20,17.78,15.56,15.56,13.33,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,1,8,9,9,8,8,8,8,5,0,5,1,3,,,
143,2,0,3,2,7,16,13,170,0,0.55,0,28,4,16.28,20.93,18.6,18.6,13.95,11.63,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,0,5,5,9,6,7,8,4,5,0,5,1,3,,,
143,2,0,3,2,7,16,14,171,0,0.34,1,29,2,19.57,10.87,19.57,19.57,19.57,10.87,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,1,8,9,9,7,8,8,9,8,0,5,1,3,,,
143,2,0,3,2,7,16,15,172,0,-0.01,1,27,2,17.78,17.78,22.22,20,15.56,6.67,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,1,8,8,9,8,8,5,9,8,0,5,1,3,,,
143,2,0,3,2,7,16,16,173,0,-0.03,1,22,2,18.37,18.37,20.41,20.41,16.33,6.12,33,1,2,6,2,Albania,1859,2,7,4,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6,8.33,20.83,20.83,14.58,16.67,18.75,17.86,16.07,17.86,16.07,14.29,17.86,7,10,7,8,7,0,7,5,8,9,8,5,7,5,0,5,1,3,,,
11,1,1,2,1,1,10,1,1,0,0.14,0,21,4,15,20,20,15,15,15,27,8,2,7,3,Argentina,2683,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,6,8,8,8,8,6,7,4,0,7,3,3,,,
11,1,1,2,1,1,10,2,2,0,0.29,1,24,2,45,5,25,20,0,5,27,8,2,7,3,Argentina,2683,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,8,7,6,9,7,4,7,2,0,7,3,3,,,
11,1,1,2,1,1,10,3,3,0,-0.24,1,25,2,35,10,35,10,10,0,27,8,2,7,3,Argentina,2683,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,7,8,6,5,8,4,5,2,1,7,3,3,,,
11,1,1,2,1,1,10,4,4,0,-0.18,1,23,2,20,20,20,20,10,10,27,8,2,7,3,Argentina,2683,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,6,7,8,7,7,5,6,3,0,7,3,3,,,
11,1,1,2,1,1,10,5,5,0,-0.43,1,21,2,20,5,25,25,10,15,27,8,2,7,3,Argentina,2683,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,6,8,8,8,7,6,6,5,0,7,3,3,,,
11,1,1,2,1,1,10,6,6,0,0.33,0,23,4,10,25,20,25,5,15,27,8,2,7,3,Argentina,2683,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,7,9,8,9,8,4,7,4,0,7,3,3,,,
11,1,1,2,1,1,10,7,7,0,0.19,0,22,4,15,15,25,20,15,10,27,8,2,7,3,Argentina,2683,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,7,8,8,8,7,7,7,4,0,7,3,3,,,
11,1,1,2,1,1,10,8,8,0,-0.03,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,27,8,2,7,3,Argentina,2683,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,8,7,6,6,6,5,7,4,0,7,3,3,,,
11,1,1,2,1,1,10,9,9,0,0.19,0,26,6,20,10,20,30,10,10,27,8,2,7,3,Argentina,2683,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,6,8,7,8,7,5,6,4,0,7,3,3,,,
11,1,1,2,1,1,10,10,10,0,0.3,1,26,2,15,15,15,40,10,5,27,8,2,7,3,Argentina,2683,1,5,4,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,7,35,20,20,20,0,5,25,5,20,20,25,5,8,9,7,8,5,0,7,8,7,8,6,5,6,3,0,7,3,3,,,
96,3,1,6,2,4,18,1,76,0,0.65,0,34,2,10,10,30,20,10,20,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,1,6,7,7,8,7,5,7,7,0,7,1,3,,,
96,3,1,6,2,4,18,2,77,0,0.28,0,22,2,15,20,20,20,15,10,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,0,7,7,7,6,7,5,7,5,0,7,1,3,,,
96,3,1,6,2,4,18,3,78,0,0.55,1,23,3,10,25,20,10,20,15,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,0,6,6,6,6,6,5,6,6,0,7,1,3,,,
96,3,1,6,2,4,18,4,79,0,0.49,0,26,4,10,20,15,20,20,15,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,1,8,9,9,9,8,8,9,8,1,7,1,3,,,
96,3,1,6,2,4,18,5,80,0,-0.36,0,27,4,10,20,20,10,20,20,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,0,6,7,7,6,7,5,6,7,0,7,1,3,,,
96,3,1,6,2,4,18,6,81,0,0.37,0,28,2,10,10,20,20,20,20,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,1,7,7,7,8,7,5,8,6,0,7,1,3,,,
96,3,1,6,2,4,18,7,7,0,0.56,0,25,6,20,20,20,20,10,10,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,1,7,8,8,8,7,5,8,8,0,7,1,3,,,
96,3,1,6,2,4,18,8,83,0,0.32,1,35,3,10,32,20,12,11,15,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,0,7,7,7,6,6,5,7,6,0,7,1,3,,,
96,3,1,6,2,4,18,9,84,0,0.44,1,32,3,30,30,30,5,0,5,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,1,7,7,8,8,8,8,8,7,0,7,1,3,,,
96,3,1,6,2,4,18,10,85,0,0.71,0,30,2,20,25,15,15,15,10,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,1,7,7,7,7,7,5,8,6,0,7,1,3,,,
96,3,1,6,2,4,18,11,86,0,0.11,0,22,2,15,20,20,20,5,20,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,1,8,8,9,8,7,8,9,7,0,7,1,3,,,
96,3,1,6,2,4,18,12,87,0,0.16,0,23,2,15,15,20,15,15,20,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,0,7,6,6,7,7,5,7,5,0,7,1,3,,,
96,3,1,6,2,4,18,13,88,0,-0.06,0,23,2,15,15,20,15,20,15,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,0,7,7,7,7,7,5,7,5,0,7,1,3,,,
96,3,1,6,2,4,18,14,89,0,0.64,0,27,2,25,15,20,20,20,0,26,5,3,3,6,Argentina,3382,1,7,1,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3,7,10,20,20,22,6,22,20,25,15,20,10,10,7,9,9,9,9,1,6,7,7,7,7,5,7,7,0,7,1,3,,,
